ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU115,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Inegocia_Inegocia japonica,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Inegocia,Inegocia japonica,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU116,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_Valenciennea_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Valenciennea,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU117,Eukaryota_Chordata_Actinopteri_Gobiiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU118,Eukaryota_Chordata_Actinopteri_Kurtiformes_Apogonidae_Ostorhinchus_NA,Eukaryota,Chordata,Actinopteri,Kurtiformes,Apogonidae,Ostorhinchus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU119,Eukaryota_Chordata_Actinopteri_Perciformes_Serranidae_Epinephelus_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Serranidae,Epinephelus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU12,Eukaryota_Chordata_Actinopteri_Labriformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Labriformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU120,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU121,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU130,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Bothidae_Engyprosopon_Engyprosopon grandisquama,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Engyprosopon,Engyprosopon grandisquama,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,adapted from Mock community,,done 13.05.2024
ZOTU123,Eukaryota_Chordata_Actinopteri_Clupeiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Clupeiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
