ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU302,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU303,Eukaryota_Chordata_Chondrichthyes_Myliobatiformes_Dasyatidae_NA_NA,Eukaryota,Chordata,Chondrichthyes,Myliobatiformes,Dasyatidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU304,Eukaryota_Chordata_Actinopteri_Perciformes_Cottidae_NA_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Cottidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,"Members of the Cottidae are found primarily in the temperate waters of the Northern Hemisphere. Approximately 275 species occur in the north Pacific and Atlantic Oceans, and only two of the approximately 70 genera are found south of the equator (Nelson 2006). Nelson (1975, 1990) redescribed the two Australian species, both in Antipodocottus. The family has not been revised recently.",NA,yes,yes,NA,NA,NA,NA,only very rarely found around AUS,NA,NA,NA,,NA
ZOTU305,Eukaryota_Chordata_Actinopteri_Blenniiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Blenniiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU306,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU433,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_Yongeichthys_Yongeichthys criniger,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Yongeichthys,Yongeichthys criniger,MiFish12S,0,0,0,0,0,only under other name (Y.nebulosus) dist. In SB,Indo-Pacific.,yes,yes,yes,no,Genus,Yongeichthys nebulosus,Genus exists in SB according to AFD. GBIF does not have that many occurences,1,2,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 13.05.2024
ZOTU309,Eukaryota_Chordata_Actinopteri_Tetraodontiformes_Monacanthidae_Monacanthus_Monacanthus chinensis,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Monacanthus,Monacanthus chinensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU101,Eukaryota_Chordata_Actinopteri_Lutjaniformes_Haemulidae_Diagramma_Diagramma melanacrum,Eukaryota,Chordata,Actinopteri,Lutjaniformes,Haemulidae,Diagramma,Diagramma melanacrum,MiFish12S,0,0,0,0,0,Dist Western AUS but offshore,"Indo-West Pacific: Indonesia, Borneo and the Philippines. Also reported from Australia, Timor Sea (Ashmore Reef) and Myanmar.",yes,yes,yes,no,Genus,Diagramma labiosum,More northern offshore Australia on Species Level,0.94,2,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 13.05.2024
ZOTU392,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Atule_Atule mate,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Atule,Atule mate,MiFish12S,0,0,0,1,0,Dist in Northern Regions of AUS,"Indo-Pacific: Red Sea and the east coast of Africa to the Hawaiian Islands and Samoa, north to Japan (Ref. 559), south to the Arafura Sea (Ref. 9819) and northern Australia.",yes,yes,no,no,Family,Carangidae,More northern Australia on Species and Genus level,0.96,1,Reassigned to family level,"Genus distribution in northern, tropical regions near Shark Bay",done 13.05.2024
ZOTU312,Eukaryota_Chordata_Actinopteri_Beloniformes_Belonidae_Tylosurus_Tylosurus crocodilus,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,Tylosurus,Tylosurus crocodilus,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU313,Eukaryota_Chordata_Mammalia_NA_NA_NA_NA,Eukaryota,Chordata,Mammalia,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU314,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_NA_NA,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU315,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU467,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU317,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU318,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU136,Eukaryota_Chordata_Actinopteri_Perciformes_Opistognathidae_Opistognathus_Opistognathus jacksoniensis,Eukaryota,Chordata,Actinopteri,Perciformes,Opistognathidae,Opistognathus,Opistognathus jacksoniensis,MiFish12S,0,0,0,0,0,Dist in Eastern Regions of AUS,Western Pacific: probably from southern Queensland to Sydney Harbor (Australia).,yes,yes,yes,no,Genus,Percifomes,"Species only eastern AUS, Genus and Family more northern West coast but one occurrence south of SB. Potentially Contaminant or wrongly assigned (only eastern AUS)",1,11,"Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory, Reassign to genus level","Species distribution in northern, tropical regions near Shark Bay",done 13.05.2024
ZOTU32,Eukaryota_Chordata_Actinopteri_Centrarchiformes_Terapontidae_Pelates_Pelates quadrilineatus,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,Pelates,Pelates quadrilineatus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU320,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU321,Eukaryota_Chordata_Actinopteri_Tetraodontiformes_Tetraodontidae_NA_NA,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU483,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU323,Eukaryota_Chordata_Actinopteri_Centrarchiformes_Terapontidae_NA_NA,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU232,Eukaryota_Chordata_Actinopteri_Perciformes_Opistognathidae_Opistognathus_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Opistognathidae,Opistognathus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,Genus,Percifomes,Genus and Family more northern West coast but one occurrence south of SB. Potentially Contaminant or wrongly assigned (only eastern AUS),1,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU325,Eukaryota_Chordata_Actinopteri_Atheriniformes_Atherinidae_Atherinomorus_NA,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherinomorus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU328,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_NA_NA,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU302,Eukaryota_Chordata_Actinopteri_Perciformes_Opistognathidae_Opistognathus_Opistognathus jacksoniensis,Eukaryota,Chordata,Actinopteri,Perciformes,Opistognathidae,Opistognathus,Opistognathus jacksoniensis,Fish16S,0,0,0,0,0,Dist in Eastern Regions of AUS,Western Pacific: probably from southern Queensland to Sydney Harbor (Australia).,yes,yes,yes,no,Genus,Percifomes,"Species only eastern AUS, Genus and Family more northern West coast but one occurrence south of SB. Potentially Contaminant or wrongly assigned (only eastern AUS)",0.98; 0.8800,2,"Set Order to Perciformes as it was NA  acc. To Australian Faunal Directory, Reassign to genus level","Species distribution in northern, tropical regions near Shark Bay","done 08.05.2024, 10.05.2024"
ZOTU33,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU330,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Choerodon_Choerodon schoenleinii,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU332,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Cynoglossidae_Cynoglossus_NA,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Cynoglossus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU146,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Flavocaranx_Flavocaranx bajad,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Flavocaranx,Flavocaranx bajad,Fish16S,0,0,0,0,0,no,"Indo-West Pacific: Red Sea, Gulf of Aden, Persian Gulf, and the Gulf of Oman to Indonesia, the Gulf of Thailand, the Philippines, and Okinawa, Japan",yes,yes,no,no,Family,Carangidae,Genus: only NE Australia; Potentially Contaminant or wrongly assigned,0.9409,1,Reassigned to family level,Genus distribution unlikely in Shark Bay,10.05.2024
ZOTU334,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Choerodon_Choerodon schoenleinii,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU335,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Gnathanodon_Gnathanodon speciosus,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Gnathanodon,Gnathanodon speciosus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU336,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Choerodon_Choerodon schoenleinii,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU337,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Syngnathidae_Syngnathoides_Syngnathoides biaculeatus,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathoides,Syngnathoides biaculeatus,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU338,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU339,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Mullidae_Upeneus_NA,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Mullidae,Upeneus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,Upeneus tragula,NA,NA,NA,NA,,NA
ZOTU227,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Onigocia_Onigocia oligolepis,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Onigocia,Onigocia oligolepis,Fish16S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-West Pacific: three known specimens from Natal, South Africa (Ref. 4315); also from north and northwestern Australia, and possibly extending to western Papua New Guinea. Reported from Samoa (Ref. 592).",yes,yes,yes,no,Genus,Platycephalidae,More northern Australia,1,1,Reassigned to genus level,"Species distribution in northern, tropical regions near Shark Bay",done 10.05.2024
ZOTU340,Eukaryota_Chordata_Actinopteri_Centrarchiformes_Terapontidae_NA_NA,Eukaryota,Chordata,Actinopteri,Centrarchiformes,Terapontidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU341,Eukaryota_Chordata_Actinopteri_Atheriniformes_Atherinidae_NA_NA,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU122,Eukaryota_Chordata_Actinopteri_Perciformes_Pomacanthidae_NA_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Pomacanthidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU343,Eukaryota_Chordata_Actinopteri_Tetraodontiformes_Monacanthidae_Monacanthus_Monacanthus chinensis,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Monacanthus,Monacanthus chinensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU344,Eukaryota_Chordata_Actinopteri_Clupeiformes_Clupeidae_Herklotsichthys_Herklotsichthys quadrimaculatus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Herklotsichthys,Herklotsichthys quadrimaculatus,MiFish12S,0,0,0,0,0,Dist. in SB,"Indo-Pacific: widespread in Indian Ocean and western Pacific, including entire eastern coast of Africa, Madagascar, Mauritius eastward to Japan, eastern Australia, and Samoa (Ref. 188). Introduced into Hawaii, apparently by accident, and now abundant (Ref. 188). At least one country reports adverse ecological impact after introduction.",yes,yes,yes,yes,Species,NA,is even in MC,"0.83, 1.0, and 0.98",2,NA,,NA
ZOTU345,Eukaryota_Chordata_Actinopteri_Spariformes_Sparidae_NA_NA,Eukaryota,Chordata,Actinopteri,Spariformes,Sparidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU295,Eukaryota_Chordata_Actinopteri_Perciformes_Pomacentridae_Abudefduf_Abudefduf bengalensis,Eukaryota,Chordata,Actinopteri,Perciformes,Pomacentridae,Abudefduf,Abudefduf bengalensis,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  to match Fish 16S and acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU347,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Scarus_NA,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Scarus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU348,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU349,Eukaryota_Chordata_Actinopteri_Mugiliformes_Mugilidae_Mugil_Mugil cephalus,Eukaryota,Chordata,Actinopteri,Mugiliformes,Mugilidae,Mugil,Mugil cephalus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU166,Eukaryota_Chordata_Actinopteri_Perciformes_Pomacentridae_Amphiprion_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Pomacentridae,Amphiprion,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU350,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_Choerodon_Choerodon schoenleinii,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,Choerodon,Choerodon schoenleinii,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU351,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Paralichthyidae_Pseudorhombus_Pseudorhombus dupliciocellatus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Pseudorhombus,Pseudorhombus dupliciocellatus,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU277,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Onigocia_Onigocia oligolepis,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Onigocia,Onigocia oligolepis,Fish16S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-West Pacific: three known specimens from Natal, South Africa (Ref. 4315); also from north and northwestern Australia, and possibly extending to western Papua New Guinea. Reported from Samoa (Ref. 592).",yes,yes,yes,no,Genus,Platycephalidae,More northern Australia,1,1,Reassigned to genus level,"Species distribution in northern, tropical regions near Shark Bay",done 10.05.2024
ZOTU187,Eukaryota_Chordata_Actinopteri_Perciformes_Pomacentridae_Amphiprion_NA,Eukaryota,Chordata,Actinopteri,Perciformes,Pomacentridae,Amphiprion,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory,,done 13.05.2024
ZOTU354,Eukaryota_Chordata_Actinopteri_Atheriniformes_Atherinidae_NA_NA,Eukaryota,Chordata,Actinopteri,Atheriniformes,Atherinidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU355,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU356,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Gnathanodon_Gnathanodon speciosus,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Gnathanodon,Gnathanodon speciosus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU316,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Onigocia_Onigocia oligolepis,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Onigocia,Onigocia oligolepis,Fish16S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-West Pacific: three known specimens from Natal, South Africa (Ref. 4315); also from north and northwestern Australia, and possibly extending to western Papua New Guinea. Reported from Samoa (Ref. 592).",yes,yes,yes,no,Genus,Platycephalidae,More northern Australia,1,1,Reassigned to genus level,"Species distribution in northern, tropical regions near Shark Bay",done 10.05.2024
ZOTU358,Eukaryota_Chordata_Mammalia_Sirenia_Dugongidae_Dugong_Dugong dugon,Eukaryota,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Dugong dugon,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU359,Eukaryota_Chordata_Actinopteri_Labriformes_Labridae_NA_NA,Eukaryota,Chordata,Actinopteri,Labriformes,Labridae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU326,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Onigocia_Onigocia oligolepis,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Onigocia,Onigocia oligolepis,Fish16S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-West Pacific: three known specimens from Natal, South Africa (Ref. 4315); also from north and northwestern Australia, and possibly extending to western Papua New Guinea. Reported from Samoa (Ref. 592).",yes,yes,yes,no,Genus,Platycephalidae,More northern Australia,1,1,Reassigned to genus level,"Species distribution in northern, tropical regions near Shark Bay",done 10.05.2024
ZOTU361,Eukaryota_Chordata_Mammalia_Artiodactyla_Delphinidae_NA_NA,Eukaryota,Chordata,Mammalia,Artiodactyla,Delphinidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU362,Eukaryota_Chordata_Actinopteri_Tetraodontiformes_Tetraodontidae_Torquigener_Torquigener pleurogramma,Eukaryota,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Torquigener,Torquigener pleurogramma,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU363,Eukaryota_Chordata_Aves_Pelecaniformes_Phalacrocoracidae_Phalacrocorax_NA,Eukaryota,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU364,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU365,Eukaryota_Chordata_Mammalia_Artiodactyla_Delphinidae_NA_NA,Eukaryota,Chordata,Mammalia,Artiodactyla,Delphinidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,Taken out,Non-focus Species,done 14.05.2024
ZOTU36,Eukaryota_Chordata_Actinopteri_Perciformes_Platycephalidae_Platycephalus_Platycephalus indicus,Eukaryota,Chordata,Actinopteri,Perciformes,Platycephalidae,Platycephalus,Platycephalus indicus,MiFish12S,0,0,0,0,0,only under other names,"Indo-West Pacific: Red Sea and East Africa to the Philippines, north to southern Japan and Korea, south to northern Australia. Introduced into the eastern Mediterranean Sea.",yes,yes,yes,no,Genus,Platycephalus endrachtensis; Platycephalus longispinis; Platycephalus westraliae,More northern Australia but could potentially be in SB,"0.95, 0.85",2,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 10.05.2024
ZOTU367,Eukaryota_Chordata_Actinopteri_Carangiformes_Carangidae_Gnathanodon_Gnathanodon speciosus,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Gnathanodon,Gnathanodon speciosus,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU368,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Mullidae_Upeneus_Upeneus tragula,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Mullidae,Upeneus,Upeneus tragula,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU369,Eukaryota_Chordata_Actinopteri_Gobiiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU37,Eukaryota_Chordata_Actinopteri_Spariformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Spariformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU370,Eukaryota_Chordata_Actinopteri_Clupeiformes_Clupeidae_Herklotsichthys_Herklotsichthys quadrimaculatus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Herklotsichthys,Herklotsichthys quadrimaculatus,MiFish12S,0,0,0,0,0,Dist. in SB,"Indo-Pacific: widespread in Indian Ocean and western Pacific, including entire eastern coast of Africa, Madagascar, Mauritius eastward to Japan, eastern Australia, and Samoa (Ref. 188). Introduced into Hawaii, apparently by accident, and now abundant (Ref. 188). At least one country reports adverse ecological impact after introduction.",yes,yes,yes,yes,Species,NA,is even in MC,"0.83, 1.0, and 0.98",2,NA,,NA
ZOTU371,Eukaryota_Chordata_Actinopteri_Chaetodontiformes_Chaetodontidae_Chaetodon_Chaetodon austriacus,Eukaryota,Chordata,Actinopteri,Chaetodontiformes,Chaetodontidae,Chaetodon,Chaetodon austriacus,MiFish12S,0,0,0,0,0,no,Western Indian Ocean: Red Sea and Gulf of Aden,yes,yes,yes,no,Genus,Chaetodontidae,Potentially wrongly assigned,1,70,Reassigned to genus level,Species distribution unlikely in Shark Bay,done 03.06.2025
ZOTU501,Eukaryota_Chordata_Actinopteri_Perciformes_Pomacentridae_Neopomacentrus_Neopomacentrus aktites,Eukaryota,Chordata,Actinopteri,Perciformes,Pomacentridae,Neopomacentrus,Neopomacentrus aktites,MiFish12S,0,0,0,0,0,no,Eastern Indian Ocean: Western Australia.,yes,yes,yes,no,Genus,Pomacentridae,One Occurrence of Species in Exmouth.,"0.97, 1.0",11,"Family was given as order (and all shifted subsequently). Added order Perciformes  acc. To Australian Faunal Directory, Reassign to genus level",Species distribution unlikely in Shark Bay,done 13.05.2024
