TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25062044,ena-SAMPLE-TAB-20-06-2025-06:18:14:763-12900,M1063
SAMPLE,ERS25062045,ena-SAMPLE-TAB-20-06-2025-06:18:14:763-12901,M1064
SAMPLE,ERS25062046,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12902,M1065
SAMPLE,ERS25062047,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12903,M1066
SAMPLE,ERS25062048,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12904,M1067
SAMPLE,ERS25062049,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12905,M1068
SAMPLE,ERS25062050,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12906,M1069
SAMPLE,ERS25062051,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12907,M1070
SAMPLE,ERS25062052,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12908,M1071
SAMPLE,ERS25062053,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12909,M1072
SAMPLE,ERS25062054,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12910,M1073
SAMPLE,ERS25062055,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12911,M1074
SAMPLE,ERS25062056,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12912,M1075
SAMPLE,ERS25062057,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12913,M1076
SAMPLE,ERS25062058,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12914,M1077
SAMPLE,ERS25062059,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12915,M1078
SAMPLE,ERS25062060,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12916,M1079
SAMPLE,ERS25062061,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12917,M1080
SAMPLE,ERS25062062,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12918,M1081
SAMPLE,ERS25062063,ena-SAMPLE-TAB-20-06-2025-06:18:14:764-12919,M1082
SAMPLE,ERS25062064,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12920,M1083
SAMPLE,ERS25062065,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12921,M1084
SAMPLE,ERS25062066,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12922,M1085
SAMPLE,ERS25062067,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12923,M1086
SAMPLE,ERS25062068,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12924,M1087
SAMPLE,ERS25062069,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12925,M1088
SAMPLE,ERS25062070,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12926,M1089
SAMPLE,ERS25062071,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12927,M1090
SAMPLE,ERS25062072,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12928,M1091
SAMPLE,ERS25062073,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12929,M1092
SAMPLE,ERS25062074,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12930,M1093
SAMPLE,ERS25062075,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12931,M1094
SAMPLE,ERS25062076,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12932,M1095
SAMPLE,ERS25062077,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12933,M1096
SAMPLE,ERS25062078,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12934,M1097
SAMPLE,ERS25062079,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12935,M1098
SAMPLE,ERS25062080,ena-SAMPLE-TAB-20-06-2025-06:18:14:765-12936,M1099
SAMPLE,ERS25062081,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12937,M1100
SAMPLE,ERS25062082,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12938,M1101
SAMPLE,ERS25062083,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12939,M1102
SAMPLE,ERS25062084,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12940,M1103
SAMPLE,ERS25062085,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12941,M1104
SAMPLE,ERS25062086,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12942,M1105
SAMPLE,ERS25062087,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12943,M1106
SAMPLE,ERS25062088,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12944,M1107
SAMPLE,ERS25062089,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12945,M1108
SAMPLE,ERS25062090,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12946,M1109
SAMPLE,ERS25062091,ena-SAMPLE-TAB-20-06-2025-06:18:14:766-12947,M1110
SAMPLE,ERS25062092,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12948,M1111
SAMPLE,ERS25062093,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12949,M1112
SAMPLE,ERS25062094,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12950,M1113
SAMPLE,ERS25062095,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12951,M1114
SAMPLE,ERS25062096,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12952,M1115
SAMPLE,ERS25062097,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12953,M1116
SAMPLE,ERS25062098,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12954,M1117
SAMPLE,ERS25062099,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12955,M1118
SAMPLE,ERS25062100,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12956,M1119
SAMPLE,ERS25062101,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12957,M1120
SAMPLE,ERS25062102,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12958,M1121
SAMPLE,ERS25062103,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12959,M1122
SAMPLE,ERS25062104,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12960,M1123
SAMPLE,ERS25062105,ena-SAMPLE-TAB-20-06-2025-06:18:14:767-12961,M1124
SAMPLE,ERS25062106,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12962,M1125
SAMPLE,ERS25062107,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12963,M1126
SAMPLE,ERS25062108,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12964,M1127
SAMPLE,ERS25062109,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12965,M1128
SAMPLE,ERS25062110,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12966,M1129
SAMPLE,ERS25062111,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12967,M1130
SAMPLE,ERS25062112,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12968,M1131
SAMPLE,ERS25062113,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12969,M1132
SAMPLE,ERS25062114,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12970,M1133
SAMPLE,ERS25062115,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12971,M2000
SAMPLE,ERS25062116,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12972,M2001
SAMPLE,ERS25062117,ena-SAMPLE-TAB-20-06-2025-06:18:14:768-12973,M2002
SAMPLE,ERS25062118,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12974,M2003
SAMPLE,ERS25062119,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12975,M2004
SAMPLE,ERS25062120,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12976,M2005
SAMPLE,ERS25062121,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12977,M2006
SAMPLE,ERS25062122,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12978,M2007
SAMPLE,ERS25062123,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12979,M2008
SAMPLE,ERS25062124,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12980,M2009
SAMPLE,ERS25062125,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12981,M2010
SAMPLE,ERS25062126,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12982,M2011
SAMPLE,ERS25062127,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12983,M2012
SAMPLE,ERS25062128,ena-SAMPLE-TAB-20-06-2025-06:18:14:769-12984,M2013
