TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25062258,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13114,MENC1
SAMPLE,ERS25062259,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13115,MENC10
SAMPLE,ERS25062260,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13116,MENC11
SAMPLE,ERS25062261,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13117,MENC12
SAMPLE,ERS25062262,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13118,MENC13
SAMPLE,ERS25062263,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13119,MENC2
SAMPLE,ERS25062264,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13120,MENC3
SAMPLE,ERS25062265,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13121,MENC4
SAMPLE,ERS25062266,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13122,MENC5
SAMPLE,ERS25062267,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13123,MENC6
SAMPLE,ERS25062268,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13124,MENC7
SAMPLE,ERS25062269,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13125,MENC8
SAMPLE,ERS25062270,ena-SAMPLE-TAB-20-06-2025-06:18:14:780-13126,MENC9
SAMPLE,ERS25067784,ena-SAMPLE-TAB-21-06-2025-01:35:01:883-16697,MMC
SAMPLE,ERS25067785,ena-SAMPLE-TAB-21-06-2025-01:35:01:883-16698,MP2PC
