#SampleID	SID	Description
M2065	S	p751_run220617_16S
M2066	S	p751_run220617_16S
M2067	S	p751_run220617_16S
M2068	S	p751_run220617_16S
M2069	S	p751_run220617_16S
M2070	S	p751_run220617_16S
M2071	S	p751_run220617_16S
M2072	S	p751_run220617_16S
M2073	S	p751_run220617_16S
M2074	S	p751_run220617_16S
M2075	S	p751_run220617_16S
M2076	S	p751_run220617_16S
M2077	S	p751_run220617_16S
M2078	S	p751_run220617_16S
M2079	S	p751_run220617_16S
M2080	S	p751_run220617_16S
M2081	S	p751_run220617_16S
M2082	S	p751_run220617_16S
M2083	S	p751_run220617_16S
M2084	S	p751_run220617_16S
M2085	S	p751_run220617_16S
M2086	S	p751_run220617_16S
M2087	S	p751_run220617_16S
M2088	S	p751_run220617_16S
M2089	S	p751_run220617_16S
M2090	S	p751_run220617_16S
M2091	S	p751_run220617_16S
M2092	S	p751_run220617_16S
M2093	S	p751_run220617_16S
M2094	S	p751_run220617_16S
M2095	S	p751_run220617_16S
M2096	S	p751_run220617_16S
M2097	S	p751_run220617_16S
M2098	S	p751_run220617_16S
M2099	S	p751_run220617_16S
M2100	S	p751_run220617_16S
M2101	S	p751_run220617_16S
M2102	S	p751_run220617_16S
M2103	S	p751_run220617_16S
M2104	S	p751_run220617_16S
M2105	S	p751_run220617_16S
M2106	S	p751_run220617_16S
M2107	S	p751_run220617_16S
M2108	S	p751_run220617_16S
M2109	S	p751_run220617_16S
M2110	S	p751_run220617_16S
M2111	S	p751_run220617_16S
M2115	S	p751_run220617_16S
M2116	S	p751_run220617_16S
M2117	S	p751_run220617_16S
M2118	S	p751_run220617_16S
M2119	S	p751_run220617_16S
M2120	S	p751_run220617_16S
M2121	S	p751_run220617_16S
M2122	S	p751_run220617_16S
M2123	S	p751_run220617_16S
M2124	S	p751_run220617_16S
M2125	S	p751_run220617_16S
M2126	S	p751_run220617_16S
M2127	S	p751_run220617_16S
M2128	S	p751_run220617_16S
M2129	S	p751_run220617_16S
M2130	S	p751_run220617_16S
M2131	S	p751_run220617_16S
M2132	S	p751_run220617_16S
M2133	S	p751_run220617_16S
M2134	S	p751_run220617_16S
M2135	S	p751_run220617_16S
M2136	S	p751_run220617_16S
M2137	S	p751_run220617_16S
M2138	S	p751_run220617_16S
M2139	S	p751_run220617_16S
M2140	S	p751_run220617_16S
M2141	S	p751_run220617_16S
M2142	S	p751_run220617_16S
M2143	S	p751_run220617_16S
M2144	S	p751_run220617_16S
M2145	S	p751_run220617_16S
MENC1	S	p751_run220617_16S
MENC10	S	p751_run220617_16S
MENC11	S	p751_run220617_16S
MENC12	S	p751_run220617_16S
MENC13	S	p751_run220617_16S
MENC2	S	p751_run220617_16S
MENC3	S	p751_run220617_16S
MENC4	S	p751_run220617_16S
MENC5	S	p751_run220617_16S
MENC6	S	p751_run220617_16S
MENC7	S	p751_run220617_16S
MENC8	S	p751_run220617_16S
MENC9	S	p751_run220617_16S
MMC	S	p751_run220617_16S
MP1NC1	S	p751_run220617_16S
MP1NC2	S	p751_run220617_16S
MP1NC3	S	p751_run220617_16S
MP1NC4	S	p751_run220617_16S
MP2NC1	S	p751_run220617_16S
MP2NC2	S	p751_run220617_16S
MP2NC3	S	p751_run220617_16S
MP2NC4	S	p751_run220617_16S
MP2PC	S	p751_run220617_16S
