#OTU ID	M1000	M1001	M1002	M1003	M1004	M1005	M1006	M1007	M1008	M1009	M1010	M1011	M1012	M1013	M1014	M1015	M1016	M1017	M1018	M1019	M1020	M1021	M1022	M1023	M1024	M1025	M1026	M1027	M1028	M1029	M1030	M1031	M1032	M1033	M1034	M1035	M1036	M1037	M1038	M1039	M1040	M1041	M1042	M1043	M1044	M1045	M1046	M1047	M1048	M1049	M1050	M1051	M1052	M1053	M1054	M1055	M1056	M1057	M1058	M1059	M1060	M1061	M1062	M1063	M1064	M1065	M1066	M1067	M1068	M1069	M1070	M1071	M1072	M1073	M1074	M1075	M1076	M1077	M1078	M1079	M1080	M1081	M1082	M1083	M1084	M1085	M1086	M1087	M1088	M1089	M1090	M1091	M1092	M1093	M1094	M1095	M1096	M1097	M1098	M1099	M1100	M1101	M1102	M1103	M1104	M1105	M1106	M1107	M1108	M1109	M1110	M1111	M1112	M1113	M1114	M1115	M1116	M1117	M1118	M1119	M1120	M1121	M1122	M1123	M1124	M1125	M1126	M1127	M1128	M1129	M1130	M1131	M1132	M1133	M2000	M2001	M2002	M2003	M2004	M2005	M2006	M2007	M2008	M2009	M2010	M2011	M2012	M2013	M2014	M2015	M2016	M2017	M2018	M2019	M2020	M2021	M2022	M2023	M2024	M2025	M2026	M2027	M2028	M2029	M2030	M2031	M2032	M2033	M2034	M2035	M2036	M2037	M2038	M2039	M2040	M2041	M2042	M2043	M2044	M2045	M2046	M2047	M2048	M2049	M2050	M2051	M2052	M2053	M2054	M2055	M2056	M2057	M2058	M2059	M2060	M2061	M2062	M2063	M2064	M2065	M2066	M2067	M2068	M2069	M2070	M2071	M2072	M2073	M2074	M2075	M2076	M2077	M2078	M2079	M2080	M2081	M2082	M2083	M2084	M2085	M2086	M2087	M2088	M2089	M2090	M2091	M2092	M2093	M2094	M2095	M2096	M2097	M2098	M2099	M2100	M2101	M2102	M2103	M2104	M2105	M2106	M2107	M2108	M2109	M2110	M2111	M2115	M2116	M2117	M2118	M2119	M2120	M2121	M2122	M2123	M2124	M2125	M2126	M2127	M2128	M2129	M2130	M2131	M2132	M2133	M2134	M2135	M2136	M2137	M2138	M2139	M2140	M2141	M2142	M2143	M2144	M2145	MENC1	MENC10	MENC11	MENC12	MENC13	MENC2	MENC3	MENC4	MENC5	MENC6	MENC7	MENC8	MENC9	MMC	MP1NC1	MP1NC2	MP1NC3	MP1NC4	MP2NC1	MP2NC2	MP2NC3	MP2NC4	MP2PC	Consensus Lineage
ZOTU9	12	7	2567	6	4658	385	588	10137	1240	1647	13	258	752	4595	1905	4446	6376	1944	4	275	921	571	1394	65	219	4484	1049	1	212	327	246	1992	53	16	8	22	186	1324	922	5	11	3	2449	8950	883	665	5396	699	7570	9780	2520	4172	4039	4959	8	154	2325	1223	1290	3	232	11	3	5	3	0	2	6	2	20	9	20	2924	3318	10781	3104	11	5011	1448	4356	13	5362	3583	30	4844	5377	10155	7939	3334	9975	10905	18073	3236	9522	15	17810	387	9516	9	9607	526	465	5960	1874	3	6	693	3247	4	766	16	166	271	653	5	1	2	2	0	2	6	1	2550	3	4	3	4	3726	510	1511	3	1425	44	2	2	5	2	7	4	5	3	2	3	2	0	2	0	2	3	3	3	7	5	16	0	520	1803	3743	6	2	5	4	852	1359	1390	18521	5990	5153	4733	846	2024	3	1	3	3	274	2	2	1491	4	2	5	1	7	7	4	3	3	0	0	0	2	2	3	6	3	1	1	1	3	2	2	7	188	4	1	2	1426	218	1509	1794	2111	20	1	44	47	2	4	0	2	1	2	6	1	7	6	4	3	2	4	4	2	3	2	5	0	0	4	1	1	3	2	1	0	0	1	3	5	9	1	136	1113	15427	17491	10811	12751	5766	8508	9712	10044	8713	9736	13441	6323	337	5	4	3	3	4	68	106	10562	36	566	2059	3	3	3	4	1	3	1	5	3	10	5	5	5	3	4	8	4	3	2	8	0	7	10	4	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Labriformes; f__Labridae; g__Choerodon; s__Choerodon_cauteroma
ZOTU40	1	1013	1	5	10	4	236	237	700	6	2	2051	374	2	7	3	2	44	1593	187	71	2	207	172	132	164	144	153	157	1028	6	583	682	304	204	27	1	0	4	2	1	3	0	0	9	1	7645	7	0	9	3	1	5121	3	3	332	0	6	0	1	1	1	1	0	7	0	0	2	1	0	2	1	2	17	1	4	98	2011	6	1785	2614	11	5	7	309	66	118	7403	4	2	1	0	5	0	0	1	0	0	0	1	4	0	0	1	0	1	1	0	3	1	0	2	174	2	1	8	1	906	2	0	4036	1944	82	7970	119	2015	17	40	3	2019	205	20	368	0	1	0	0	233	1	0	1	1	0	3	2	0	2	0	1	0	0	2	0	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	2	3	1	259	4067	0	2	316	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	1	3	1	1	1	0	0	1	0	0	0	2	1	2	0	0	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Spariformes; f__Sparidae; g__Pagrus; s__Pagrus_major
ZOTU12	7	97	50	946	431	89	2	23	215	487	36	1864	276	3	1140	6865	4100	5528	14	15	475	3434	12	8	10	22	768	554	638	375	303	438	203	4	14	261	659	66	20	11	200	6	6	445	1279	5275	1556	1495	2316	6588	3810	9013	654	3000	26	1476	2041	1826	1312	972	777	12820	575	1092	1367	475	550	1101	74	452	183	1319	78	12	12	856	186	2998	28	338	2239	5	10329	3952	2528	3257	3	241	2	2417	3558	4061	4959	1332	3560	4163	8	137	335	241	1679	3595	5552	1464	1473	8770	5798	2669	2476	348	267	273	1007	444	1059	2360	3253	1218	1	151	1848	800	7	965	864	1502	386	96	1003	1369	800	598	1022	0	2	5	6866	16	7046	889	1993	281	76	4	2812	5	421	4	8	436	1	1097	10219	1520	717	57	1336	4	1	6	0	6	1	79	2428	916	3	0	3	3	3068	98	621	1180	1882	2271	1431	3126	3890	6234	6	1539	1201	1626	87	721	1219	1	35	2	855	2	28	1786	13	7	1768	507	1642	512	355	8167	987	1040	1210	430	2847	1054	4137	2102	596	986	1384	954	567	196	181	5631	1	1451	602	2	1103	140	708	8	792	770	4	3188	2456	4874	2562	2801	2832	948	2652	1685	3	1588	1616	9	7629	372	4142	2510	12532	1174	2	386	1715	865	780	1	1080	6	7	10	5	3	3	5	6	1109	4304	1445	1951	1187	852	1455	3	1190	300	119	2294	1657	2	9	5	3	3	6	2	9	7	6	7	5	4	2	1	10	2	0	3	3	1	0	5	2	 d__Eukaryota; p__Chordata; c__Actinopteri; f__Sillaginidae; g__Sillago
ZOTU14	3	4	6	6	5	778	25	1	547	3458	5672	2158	889	4	2	0	669	344	759	870	233	58	97	346	4	3	10	2	8	0	2	0	31	7	66	4	4	1	1	3	3	1045	3	3	1	1	0	4	175	6	4	2	0	1	0	0	4	6	0	1	2	1	3	5	6	3	3	3	1	3806	277	9	7	4	735	5	2	2	3	10	6	6	1	4	4	4	6	8595	2	1	2	4	4	5	2	2	0	0	2	3	2	2	1	8	1	1	6	2	2	3	1	2624	1432	3	2	3840	7117	1812	33	893	1052	2	3	4	0	2	1	0	1	855	675	4	0	0	2	2	4	1	4	1	0	1	2	0	0	0	2	0	1	0	2	17	14	18226	9208	7958	10144	10050	10372	25666	12486	36779	29779	11549	9443	35	124	245	5185	313	1167	6	2	0	1844	2	2	665	333	450	1	95	234	2	3	3	2	1	2	2	0	1	0	5	0	0	1	0	0	1	2	1	4	1	0	0	3	5924	4780	2716	1655	5808	1359	1	1	4	6	0	1	13	0	0	0	1	2	1	1	0	0	0	1	1	1	0	3	0	0	0	0	2	0	0	0	0	0	0	1	1	0	2	101	687	0	2163	2794	1163	203	2	1082	2498	915	663	0	209	1	0	1	0	0	1	0	389	0	0	3	0	0	0	1	2	0	2	4	4	0	2	4	0	4	2	0	2	0	0	0	0	0	1	0	1	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Centrarchiformes; f__Terapontidae; g__Leiopotherapon; s__Leiopotherapon_aheneus
ZOTU44	1	3	73	6	4	7	11	1707	3	1	950	170	275	81	858	1091	12	18	7	1255	806	2254	206	1010	241	2	499	0	34	179	3	2	0	4	0	1	0	1616	388	767	8401	673	1772	22	2381	6242	4	12	11	1	3	6	2	1	1	2	2	0	2	0	1	1	1	0	2	0	1	2	3	0	0	2	3	0	2	10	5	63	5	6	5	5	7449	7	2	1603	0	0	0	11	307	1	0	1	1	3	15	5	0	2	2	0	5	94	306	0	1	2	4	17	82	73	674	930	730	1106	213	0	0	669	4	0	1	0	1	3	0	5	1	4686	3	3	5	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	4	1	5	2	2	7	1656	10	17	1	1	13	2118	2	11	7	360	12	2	1	2	0	1	1	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	1	1	0	2	0	2	115	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1005	0	0	0	1	1	2	1	0	9	1	1734	6	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Spariformes; f__Lethrinidae; g__Lethrinus; s__Lethrinus_laticaudis
ZOTU343	2	0	10	2	7	2	0	44	2	3	0	2	5	0	2	8	20	3	0	0	8	3	6	0	1	11	6	0	2	4	1	4	2	0	0	1	0	3	0	0	0	0	1	2	0	1	3	0	1	3	1	1	0	6	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	77	1	4	1	1	3	0	3	0	5	0	0	7	5	3	1	4	0	1	0	1	0	0	3	2	0	0	0	4	0	1	7	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	8	3	6	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Labriformes
ZOTU22	1	2	4	1232	295	0	1	1	2	5	3	3	6	4	3	8	6	5	2	4	1	7	5	144	38	0	1	0	1	0	0	833	0	0	104	2	3	0	1	1182	2	6	89	3	3	0	0	3	1	2	0	2	2	1	3	2909	804	2062	2243	1378	181	1	1227	422	5	4	2	243	0	308	0	133	2	1	1	1	0	970	2	1	2	2	1	731	2	1	1	1	0	3	2	0	2	3	0	2	740	1	1	0	1	70	1	699	76	115	1308	529	810	8	1	0	0	1	0	6	348	1	101	1	84	1418	841	1734	3078	2257	2726	0	2	0	232	0	0	1	0	958	349	1	5977	3	1901	21	2	0	1	0	2	24	1	1894	830	6048	4	0	1	2	1	2	0	0	0	2	1	0	0	1	0	0	0	0	0	0	2608	719	2278	1082	1	997	0	0	2	0	177	489	5	5783	5	8777	543	4575	5842	3714	4292	2302	14345	2036	1167	15406	3655	8793	1072	11	0	162	274	460	347	1	0	2	1	2	2	4	1	124	4	2	4673	916	399	519	123	2	2310	3	1	2	4	2	0	25	1	3	690	4	862	760	665	5212	2901	108	1	2536	1181	6375	5	1	2	1	638	4	3	1	5	1	1	11	7	1	3	341	1	1	1655	7	2694	0	215	871	2	3	99	746	5	80	3	0	1	2	3	2	2	0	2	1	1	2	0	0	1009	0	0	2	1	0	1	0	3	1	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinella; s__Sardinella_gibbosa
ZOTU1	25	3036	25	27	832	17	713	17	40	39	286	26	345	11	25	50	51	52	48	39	51	26	37	43	31	23	26	8	23	13	26	10	29	10	9	12	15	124	17	32	14	13	16	20	12	18	46	52	37	1422	5879	49	22	35	40	9672	8972	6767	8526	15353	7812	23524	11922	9200	9991	7586	13831	884	5700	4380	5234	3819	956	14	20	5	6	20	14	16	13	9	15	9	208	425	11	11	10	188	34	276	394	2476	1105	2358	1155	1992	2627	2793	229	673	4672	1495	2350	4328	2573	2825	1511	9	147	33	21	222	1685	7	1789	12	39	8	6	11	10	3	5	6	5	8	29	5	4	4	5	7	4	24903	26308	28834	17850	36724	20696	23900	51288	50437	33485	30126	38959	31269	20954	17270	23532	69353	50771	3553	2138	664	205	59	23	8	8	6	7	7	267	8	979	13	4	371	9	7919	4070	659	5845	7215	895	6495	2147	5655	50	4318	4678	11887	15239	13944	12001	7897	9122	21109	13209	13116	19494	14163	36044	28455	26930	22342	17415	28853	17808	31009	19868	7423	11588	10883	19177	2702	1426	495	311	21	14	684	4515	1125	3122	94	17	1790	3636	4563	993	2110	14509	42241	28546	21876	29860	24306	8387	22354	19057	28674	25042	15211	23405	13187	26809	6126	49623	38504	15501	44000	22741	21977	1137	31	10	28	598	1342	23	20	22	22	20	129	14	7	15	16	10	14	6676	14379	5289	5288	21491	4961	25	2344	507	552	1244	18	14	35	18	34	14	12	25	9	42	19	8	2	8	27	12	12	7	8	20	7	6	7	10	13	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Clupeiformes; f__Clupeidae; g__Sardinella; s__Sardinella_gibbosa
ZOTU2	42	12161	17893	10010	7787	6498	6734	20396	17979	14483	15541	15087	10616	2201	10484	15200	25107	15805	18214	12940	20843	13224	25539	13984	10211	9687	21999	4677	20800	14009	16975	20312	10407	18446	52943	16756	9512	9215	9632	11073	15289	7290	5841	3725	25	9295	11763	2258	3797	1957	9222	3243	4793	8360	24	2751	1800	3986	3617	1602	3203	3381	5725	43	6602	4941	4561	2941	1988	6164	706	2653	993	46	20	1783	316	62	2305	42919	22432	11026	4181	3440	4231	1298	2004	21	9376	1494	219	7536	15078	7085	3554	3776	19335	2364	3147	2400	1807	4250	2474	3789	11758	12269	4072	8478	9040	13340	19098	17052	20523	21690	35565	31649	11990	21904	3215	22155	21894	6419	14634	4862	4918	9890	13727	26381	17740	14380	24951	15253	23217	21	37	11	12	16	812	20	14	13	19	11	5	11	13	8	2	5	15	26	25	113	8033	1010	2425	1324	166	43	2265	230	2143	2128	8	287	1644	86	581	616	3376	23	16	311	12	10	16	153	3171	1034	4	8	9	7	9	13	9	8	7	7	10	6	7	3	15	12	654	10	19	20	27	43	1809	467	441	13	21	270	16	13	22	522	1100	9	20	173	15	4	10	4	4	3	9	10	6	3	5	5	4	2	10	6	2	1	0	1	15	4	4	2	1	4	2	3	3	3	4	3246	9	122	2808	1	1	512	137	1761	3151	5138	8	1160	3	1690	0	1268	1	1	1	6	4	7	3	2	5	3	7	4	4	0	19	8	8	1	36	31	39	14	35	22	11	2	2	14	6	9	0	16	5	1	6	3	 d__Eukaryota; p__Chordata; c__Actinopteri; f__Siganidae; g__Siganus
ZOTU100	3	1858	895	447	706	1047	1377	214	56	2	0	80	14	1	0	0	1	0	0	42	33	51	129	0	28	0	35	0	2	2	0	4	86	2	0	3	0	0	0	0	0	0	131	316	0	2	0	1	6	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	190	3	263	950	6	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	27	0	0	0	1	0	9	54	138	35	10	51	0	3	0	2572	1	0	0	0	0	1	0	1	0	24	1	0	2	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	1	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 d__Eukaryota; p__Chordata; c__Actinopteri; o__Beloniformes; f__Hemiramphidae; g__Hyporhamphus; s__Hyporhamphus_quoyi
